timestamp,duration (s)
1667744925.8007145,0.00435895
1667747872.2250144,0.00438812
1667751708.844976,0.00432562
1667755991.539108,0.00434287
1667759784.4562345,0.00438143
1667763429.0175912,0.00474738
1667766201.4290633,0.00434277
1667770444.3046794,0.0043558
1667772933.805051,0.00434116
1667776569.4328592,0.00439721
1667780091.8502085,0.0043855
1667783597.0292573,0.00434555
1667787486.1686158,0.00437813
1667791028.9764054,0.00442453
1667794453.1657708,0.00476967
1667797984.0874085,0.00439269
1667801669.6597135,0.00441838
1667805265.0601795,0.00442575
1667808827.9084716,0.00431254
1667812450.0056634,0.00436671
1667815945.4208374,0.00437981
1667819571.9596078,0.00433044
1667823174.4167762,0.00439571
1667826775.4779394,0.00436608
1667830411.277227,0.00429385
1667834497.8009882,0.00439447
1667841891.4906404,0.00434713
1667845049.5488732,0.0043297
1667848767.4286318,0.004399800000000001
1667852275.3534262,0.00434574
1667859824.149503,0.00434208
1667862969.8992715,0.0043728000000000005
1667866900.9201722,0.00432113
1667871250.933708,0.00434831
1667873987.8044481,0.00435889
1667877448.6556273,0.00437216
1667881663.1280706,0.00428776
1667884582.6905859,0.00439274
1667888251.3578892,0.00434614
1667891749.999543,0.00435882
1667895559.9534118,0.00447716
1667898846.2244182,0.00437116
1667902467.1263301,0.00429931
1667906046.1500866,0.00433905
1667909694.3890154,0.00435708
1667913192.6177466,0.0043737
1667916799.4437964,0.00434323
1667920413.773251,0.0043799
1667924044.197793,0.00441011
1667927706.970551,0.00436595
1667931242.2056148,0.00436178
1667934956.4276845,0.00436914
1667938486.410315,0.00437397
1667942076.6195672,0.00431381
1667945718.2803388,0.00441272
1667949496.2751818,0.00437309
1667953304.3633568,0.00438593
1667956632.0430446,0.00438669
1667960216.942047,0.00445415
1667963756.1626225,0.0043511
1667967256.7207553,0.00439859
1667970869.6227903,0.00438105
1667974751.6240072,0.00438988
1667978090.6367922,0.00438752
1667981736.6020286,0.00443945
1667985283.3168573,0.00440205
1667988978.790876,0.00436523
1667992552.8373234,0.00439205
1667996101.17277,0.00436433
1667999756.5648725,0.00432959
1668003423.0611286,0.00447634
1668006913.0049865,0.00437265
1668010533.488706,0.00435356
1668014107.4180632,0.00438238
1668017786.984235,0.00470899
1668021422.7040205,0.0043178
1668025136.1854255,0.00438129
1668028428.2150385,0.00438589
1668032413.4134715,0.0043417
1668035693.342626,0.00433427
1668039383.677276,0.00435249
1668042858.4488132,0.00432902
1668046438.6920679,0.00445144
1668050063.9094565,0.00437273
1668053619.5880241,0.00467679
1668057225.8527567,0.0043832
1668061058.1601806,0.00435156
1668064568.1966214,0.00440202
1668068062.141259,0.00477021
1668071673.3275054,0.00434692
1668075349.6967187,0.00437552
1668078914.0977767,0.00465712
1668082403.8741527,0.00439919
1668086010.13749,0.00431926
1668089648.6038802,0.00433771
1668093305.1373491,0.00436697
1668097026.6475348,0.00437838
1668100727.4771714,0.00434487
